event-id,visible,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
27201200958,true,2003-04-29 12:01:00.000,16.0775,2.2018,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200959,true,2003-05-28 06:03:00.000,16.0787,2.1956,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200960,true,2003-06-08 06:01:00.000,16.0804,2.1992,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200961,true,2003-06-10 06:02:00.000,16.079,2.1953,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200962,true,2003-06-15 06:02:00.000,16.0791,2.1954,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200963,true,2003-06-20 12:02:00.000,16.0799,2.1933,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200964,true,2003-06-25 12:02:00.000,16.0886,2.2037,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200965,true,2003-07-11 06:01:00.000,16.0897,2.2064,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200966,true,2003-08-06 12:03:00.000,16.0791,2.1954,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200967,true,2003-08-14 12:01:00.000,16.0753,2.1944,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200968,true,2003-08-15 06:01:00.000,16.0792,2.1958,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200969,true,2003-08-18 06:02:00.000,16.0762,2.1955,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200971,true,2003-08-22 06:03:00.000,16.0788,2.1958,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200970,true,2003-08-22 12:03:00.000,16.0726,2.1918,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200972,true,2003-08-28 12:00:00.000,16.0796,2.1938,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200973,true,2003-09-01 06:01:00.000,16.0793,2.1947,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200974,true,2003-09-04 12:01:00.000,16.0775,2.2018,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200975,true,2003-09-05 06:02:00.000,16.0789,2.1952,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200976,true,2003-09-08 12:01:00.000,16.0733,2.1922,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200977,true,2003-09-09 06:01:00.000,16.0776,2.1955,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200979,true,2003-09-26 06:02:00.000,16.0778,2.1951,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200978,true,2003-09-26 12:01:00.000,16.0797,2.1944,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200980,true,2003-10-15 06:03:00.000,16.0777,2.1957,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200981,true,2003-10-16 06:02:00.000,16.0728,2.1904,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200982,true,2003-10-18 06:02:00.000,16.0786,2.195,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200983,true,2003-11-01 12:01:00.000,16.0796,2.1936,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
27201200984,true,2003-11-05 06:00:00.000,16.0755,2.1956,"gps",,"#2784862091","39839","Elephant Research - Lobeke National Park (Cameroon) - Collar 39839"
