event-id,visible,timestamp,location-long,location-lat,comments,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
27190176363,true,2005-09-17 00:12:10.000,15.742,2.157,"A","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176364,true,2005-09-17 01:44:40.000,15.732,2.154,"3","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176365,true,2005-09-17 04:31:40.000,15.737,2.155,"3","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176366,true,2005-09-18 00:01:39.000,15.739,2.159,"B","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176367,true,2005-09-18 01:33:39.000,15.737,2.155,"2","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176368,true,2005-09-18 01:41:09.000,15.732,2.16,"B","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176369,true,2005-09-18 04:09:09.000,15.737,2.158,"B","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176370,true,2005-09-18 05:47:09.000,15.692,2.136,"A","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176371,true,2005-09-19 01:31:08.000,15.677,2.25,"B","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176372,true,2005-09-19 05:22:08.000,15.793,2.192,"B","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176373,true,2005-09-19 07:43:38.000,15.72,2.14,"A","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176374,true,2005-09-20 01:20:08.000,15.772,2.13,"B","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176375,true,2005-09-20 05:00:08.000,15.793,2.147,"1","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176376,true,2005-09-21 00:59:07.000,15.818,2.127,"B","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176377,true,2005-09-21 01:11:37.000,15.806,2.143,"A","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176378,true,2005-09-21 04:35:07.000,15.822,2.127,"B","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176379,true,2005-09-22 07:03:37.000,15.879,2.117,"B","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176380,true,2005-09-23 00:50:06.000,15.862,2.112,"0","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176381,true,2005-09-23 02:15:36.000,15.876,2.102,"A","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176382,true,2005-09-24 00:40:36.000,15.855,2.074,"3","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176383,true,2005-09-24 02:03:36.000,15.843,2.074,"B","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176384,true,2005-09-24 05:03:36.000,15.855,2.073,"A","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176385,true,2005-09-25 04:39:35.000,15.867,2.036,"3","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176386,true,2005-09-26 00:19:04.000,15.872,2.013,"B","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176387,true,2005-09-26 01:40:04.000,15.936,2.006,"B","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
27190176388,true,2005-09-27 07:41:04.000,15.843,1.997,"A","argos-doppler-shift",,"#2782816546","47574","Elephant Research - Lobeke NP (Cameroon) - Collar 47574 [Sep-Oct 2005]"
