,seed,num_timesteps,num_attackers,num_defenders,num_clusters,dims,force_return,defense_time_threshold,iteration_number,iteration_time,gap,iterations_to_converge,def_support,defender_actions_size,attacker_actions_size
0,1,8,1,1,10,7,True,1,1,0.026311635971069336,0.7480194536056324,10,5,8,5
1,1,8,1,1,10,7,True,1,2,0.02532172203063965,0.7480194536056324,10,5,8,5
2,1,8,1,1,10,7,True,1,3,0.02689838409423828,0.5789363106476968,10,5,8,5
3,1,8,1,1,10,7,True,1,4,0.022382497787475586,0.5789363106476968,10,5,8,5
4,1,8,1,1,10,7,True,1,5,0.0178375244140625,0.18415545973532504,10,5,8,5
5,1,8,1,1,10,7,True,1,6,0.013325929641723633,0.5508176909751721,10,5,8,5
6,1,8,1,1,10,7,True,1,7,0.02843642234802246,0.03947101669663444,10,5,8,5
7,1,8,1,1,10,7,True,1,8,0.013239145278930664,0.479729247289293,10,5,8,5
8,1,8,1,1,10,7,True,1,9,0.020329713821411133,0.15089106658298512,10,5,8,5
9,1,8,1,1,10,7,True,1,10,0.021762371063232422,1.1102230246251565e-16,10,5,8,5
10,2,8,1,1,10,7,True,1,1,0.016732454299926758,0.8875960730370515,7,3,6,4
11,2,8,1,1,10,7,True,1,2,0.013725519180297852,0.8875960730370515,7,3,6,4
12,2,8,1,1,10,7,True,1,3,0.01892685890197754,0.23381980267396546,7,3,6,4
13,2,8,1,1,10,7,True,1,4,0.01699995994567871,0.70404544348543,7,3,6,4
14,2,8,1,1,10,7,True,1,5,0.021739482879638672,0.3968824970909527,7,3,6,4
15,2,8,1,1,10,7,True,1,6,0.025287866592407227,0.6788107709371518,7,3,6,4
16,2,8,1,1,10,7,True,1,7,0.029488325119018555,0.0,7,3,6,4
17,3,8,1,1,10,7,True,1,1,0.018352746963500977,0.996266695986951,5,3,4,3
18,3,8,1,1,10,7,True,1,2,0.02470684051513672,0.996266695986951,5,3,4,3
19,3,8,1,1,10,7,True,1,3,0.025789499282836914,0.1154638560416903,5,3,4,3
20,3,8,1,1,10,7,True,1,4,0.02429485321044922,0.6145287845854179,5,3,4,3
21,3,8,1,1,10,7,True,1,5,0.028990983963012695,2.220446049250313e-16,5,3,4,3
22,4,8,1,1,10,7,True,1,1,0.022558212280273438,0.9905307204164386,6,4,6,4
23,4,8,1,1,10,7,True,1,2,0.023003578186035156,0.9905307204164386,6,4,6,4
24,4,8,1,1,10,7,True,1,3,0.03240561485290527,0.21706370032486777,6,4,6,4
25,4,8,1,1,10,7,True,1,4,0.02481675148010254,0.9963226582506655,6,4,6,4
26,4,8,1,1,10,7,True,1,5,0.01844000816345215,0.2933603107661577,6,4,6,4
27,4,8,1,1,10,7,True,1,6,0.03532838821411133,2.220446049250313e-16,6,4,6,4
28,5,8,1,1,10,7,True,1,1,0.015466928482055664,0.9478793454913114,10,4,9,5
29,5,8,1,1,10,7,True,1,2,0.019490957260131836,0.9478793454913114,10,4,9,5
30,5,8,1,1,10,7,True,1,3,0.022006511688232422,0.34714625070812644,10,4,9,5
31,5,8,1,1,10,7,True,1,4,0.016433000564575195,0.833767430652015,10,4,9,5
32,5,8,1,1,10,7,True,1,5,0.024442672729492188,0.35866457136200647,10,4,9,5
33,5,8,1,1,10,7,True,1,6,0.025206804275512695,0.6659444794487315,10,4,9,5
34,5,8,1,1,10,7,True,1,7,0.029597759246826172,0.023955705786022463,10,4,9,5
35,5,8,1,1,10,7,True,1,8,0.03140115737915039,0.5643499150654296,10,4,9,5
36,5,8,1,1,10,7,True,1,9,0.03805971145629883,0.18271674268062083,10,4,9,5
37,5,8,1,1,10,7,True,1,10,0.03244209289550781,1.1102230246251565e-16,10,4,9,5
38,6,8,1,1,10,7,True,1,1,0.013074636459350586,0.9197735185482694,7,4,7,4
39,6,8,1,1,10,7,True,1,2,0.015166044235229492,0.9197735185482694,7,4,7,4
40,6,8,1,1,10,7,True,1,3,0.017884492874145508,0.21811419231027473,7,4,7,4
41,6,8,1,1,10,7,True,1,4,0.024281740188598633,0.6972194147032792,7,4,7,4
42,6,8,1,1,10,7,True,1,5,0.02945733070373535,0.3824855939458754,7,4,7,4
43,6,8,1,1,10,7,True,1,6,0.023572444915771484,0.6664560662150822,7,4,7,4
44,6,8,1,1,10,7,True,1,7,0.028001070022583008,1.1102230246251565e-16,7,4,7,4
45,7,8,1,1,10,7,True,1,1,0.017414569854736328,0.7974715297793745,5,3,3,3
46,7,8,1,1,10,7,True,1,2,0.016589641571044922,0.7974715297793745,5,3,3,3
47,7,8,1,1,10,7,True,1,3,0.019052743911743164,0.2960844239960346,5,3,3,3
48,7,8,1,1,10,7,True,1,4,0.013163328170776367,0.7397473786339075,5,3,3,3
49,7,8,1,1,10,7,True,1,5,0.019313335418701172,0.0,5,3,3,3
50,8,8,1,1,10,7,True,1,1,0.024564266204833984,0.90179941464502,8,3,7,4
51,8,8,1,1,10,7,True,1,2,0.02346014976501465,0.90179941464502,8,3,7,4
52,8,8,1,1,10,7,True,1,3,0.028357505798339844,0.423244807043225,8,3,7,4
