,seed,num_timesteps,num_attackers,num_defenders,num_clusters,dims,defense_time_threshold,force_return,num_defender_actions,nash_value,nash_support,nash_runtime,mip_value,mip_support,mip_runtime
0,1,9,1,1,10,7,1,False,41479,-0.18759242338907556,11,3.2200019359588623,"[-0.33049861334842967, -0.21206488911779517, -0.2027180992745322, -0.19611201169804243, -0.19191852234427761, -0.19014835729000226, -0.18850623369178512, -0.18818386343547683, -0.18767362871840199, -0.18762222701899983, -0.1875924233890755]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[32.253100633621216, 34.95654082298279, 263.79923248291016, 89.53590774536133, 55.00484824180603, 61.43380928039551, 18.713496685028076, 42.845847368240356, 11.174825668334961, 6.375265598297119, 4.046465873718262]"
1,2,9,1,1,10,7,1,False,41479,-0.19852633520870727,11,3.3975319862365723,"[-0.4201333011262066, -0.2679993774682173, -0.22982669981917148, -0.21168276403349007, -0.20798729137337832, -0.20447896293524268, -0.20156120424711466, -0.19930127100400905, -0.19876806360173715, -0.19856390908587448, -0.19852633520870722]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[25.359724283218384, 757.6126692295074, 120.91936421394348, 32.67149472236633, 30.966038465499878, 60.4051833152771, 33.188098192214966, 10.99639081954956, 13.220718383789062, 5.789392471313477, 4.096785068511963]"
2,3,9,1,1,10,7,1,False,41479,-0.19100435112248906,11,3.0387136936187744,"[-0.3475327050726812, -0.2580880780591269, -0.2167516092584114, -0.20237810532910447, -0.1976652885413971, -0.19450417851693722, -0.19302559575054873, -0.19219687430889873, -0.19141849506017838, -0.19109363073337515, -0.19100435112248906]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[30.28805661201477, 4684.116407871246, 245.47471809387207, 28.561508417129517, 50.896631956100464, 42.24223470687866, 65.01957201957703, 24.459290504455566, 8.24569058418274, 5.5824973583221436, 4.041886329650879]"
3,4,9,1,1,10,7,1,False,41479,-0.18762212187916855,11,2.9835965633392334,"[-0.38593971907107893, -0.26684074604678143, -0.21744625047867985, -0.20892305539635042, -0.2040254362563006, -0.19930354767078337, -0.19044388614682972, -0.18872589929762426, -0.18786020727208264, -0.18771851652515475, -0.18762212187916855]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[56.12270784378052, 878.412425994873, 67.96332097053528, 109.00090503692627, 69.47860598564148, 36.624037742614746, 8.537587404251099, 11.262594223022461, 7.679264783859253, 10.326768398284912, 4.1024839878082275]"
4,5,9,1,1,10,7,1,False,41479,-0.17602962439362355,10,2.995340347290039,"[-0.2906412128056464, -0.21102580904812476, -0.19025117321992852, -0.1820494203420412, -0.17962563182313276, -0.17798724122895465, -0.17667901279962397, -0.17626862319330996, -0.17606645455439135, -0.17602962439362352]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[12.671159029006958, 741.9412114620209, 109.17943048477173, 26.616421937942505, 29.144108057022095, 26.184483528137207, 9.288192510604858, 12.391179084777832, 5.851304531097412, 4.154981851577759]"
5,6,9,1,1,10,7,1,False,41479,-0.1763900945423281,11,3.0371439456939697,"[-0.33458244851934105, -0.22352023104467122, -0.19591272602614446, -0.18594643871137492, -0.18097392838165466, -0.17869890651802603, -0.1773587903413082, -0.17696748053624395, -0.17681421545983197, -0.17668092202829516, -0.1763900945423282]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[23.87569284439087, 534.5615437030792, 49.80343174934387, 16.040162801742554, 28.513479709625244, 14.010257959365845, 13.1762535572052, 19.049723148345947, 22.40872311592102, 15.08578610420227, 4.142220973968506]"
6,7,9,1,1,10,7,1,False,41479,-0.18011837697027425,11,3.0405232906341553,"[-0.3367153020684932, -0.22492398547957598, -0.20926918556949864, -0.19877641741880187, -0.18872951962937365, -0.18606675441665027, -0.18316194361864574, -0.18170900573584384, -0.18108097169424314, -0.1803024100188029, -0.18011837697027422]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[23.55077338218689, 1304.2784504890442, 294.91467237472534, 120.13835406303406, 30.28769278526306, 35.485679149627686, 23.631848096847534, 15.037034749984741, 12.004209756851196, 6.655993938446045, 4.134349346160889]"
7,8,9,1,1,10,7,1,False,41479,-0.20366230586291245,11,3.031540870666504,"[-0.3847404347260328, -0.25670419923314197, -0.23331812191634083, -0.22062074739824913, -0.21364564097372926, -0.2093681871458717, -0.2067136857078872, -0.20475899960974345, -0.20427178642197116, -0.20370025436925213, -0.20366230586291245]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[54.090611934661865, 708.6245937347412, 428.12719774246216, 301.07984232902527, 129.1007354259491, 59.65795040130615, 41.331642150878906, 25.973780393600464, 21.21447777748108, 5.604053020477295, 4.160428762435913]"
8,9,9,1,1,10,7,1,False,41479,-0.1966735203020532,11,3.044220209121704,"[-0.43179747045488504, -0.27416749950096725, -0.23364327356576628, -0.21485007804314482, -0.20671804833329002, -0.2018568549550512, -0.19793955308932856, -0.19734660389863512, -0.19697949088886546, -0.1966923043032747, -0.19667352030205315]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1393.2623889446259, 2182.9206199645996, 243.2746663093567, 127.77193093299866, 38.940105676651, 33.00520992279053, 11.381940603256226, 11.826555490493774, 19.418466567993164, 4.164453744888306, 4.139492034912109]"
9,10,9,1,1,10,7,1,False,41479,-0.19505855641851816,11,3.066049337387085,"[-0.34436445322944637, -0.24031442702318015, -0.22083991336448583, -0.21198847444645597, -0.19822890538852792, -0.19729880201646774, -0.19667845672311393, -0.19658292634005956, -0.19572795521017503, -0.19515508120429792, -0.19505855641851816]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[29.169074296951294, 1596.7552001476288, 367.29588866233826, 11388.056231498718, 14.845330476760864, 20.18222665786743, 22.97120761871338, 41.588659048080444, 16.046393632888794, 6.760267734527588, 4.265600681304932]"
