,num_timesteps,num_clusters,dims,defense_time_threshold,iteration_number,iteration_time,gap,iterations_to_converge,def_support,defender_actions_size,attacker_actions_size
0,7,7,7,1,1,0.02263164520263672,0.8069148936170213,16,5,15,6
1,7,7,7,1,2,0.0005440711975097656,0.5872340425531914,16,5,15,6
2,7,7,7,1,3,0.0012378692626953125,0.6297872340425532,16,5,15,6
3,7,7,7,1,4,0.0014998912811279297,0.35238095238095235,16,5,15,6
4,7,7,7,1,5,0.002064943313598633,0.3469085978109967,16,5,15,6
5,7,7,7,1,6,0.002004384994506836,0.23351063829787233,16,5,15,6
6,7,7,7,1,7,0.0020041465759277344,0.2460565270595666,16,5,15,6
7,7,7,7,1,8,0.0020041465759277344,0.29361702127659584,16,5,15,6
8,7,7,7,1,9,0.005586862564086914,0.1318565657377969,16,5,15,6
9,7,7,7,1,10,0.0021233558654785156,0.239337432246582,16,5,15,6
10,7,7,7,1,11,0.004157543182373047,0.10956418026765813,16,5,15,6
11,7,7,7,1,12,0.0030066967010498047,0.20025492695362296,16,5,15,6
12,7,7,7,1,13,0.004000186920166016,0.013779972033226728,16,5,15,6
13,7,7,7,1,14,0.003999948501586914,0.06293262054260573,16,5,15,6
14,7,7,7,1,15,0.003999948501586914,0.045180085838771006,16,5,15,6
15,7,7,7,1,16,0.004999876022338867,1.1102230246251565e-16,16,5,15,6
16,7,7,7,2,1,0.002004384994506836,0.8069148936170213,12,5,13,6
17,7,7,7,2,2,0.0020041465759277344,0.5872340425531914,12,5,13,6
18,7,7,7,2,3,0.0,0.6297872340425532,12,5,13,6
19,7,7,7,2,4,0.0,0.35238095238095235,12,5,13,6
20,7,7,7,2,5,0.0,0.2520269881762617,12,5,13,6
21,7,7,7,2,6,0.0,0.3468085106382979,12,5,13,6
22,7,7,7,2,7,0.0,0.25137567599573685,12,5,13,6
23,7,7,7,2,8,0.0,0.2473525604724537,12,5,13,6
24,7,7,7,2,9,0.016107797622680664,0.29361702127659584,12,5,13,6
25,7,7,7,2,10,0.0038073062896728516,0.1269507486562704,12,5,13,6
26,7,7,7,2,11,0.0020041465759277344,0.2236499327863534,12,5,13,6
27,7,7,7,2,12,0.004008054733276367,5.551115123125783e-17,12,5,13,6
28,7,7,8,1,1,0.0020003318786621094,0.8069148936170213,13,5,13,6
29,7,7,8,1,2,0.0010476112365722656,0.5872340425531914,13,5,13,6
30,7,7,8,1,3,0.002772808074951172,0.6297872340425532,13,5,13,6
31,7,7,8,1,4,0.0010197162628173828,0.35238095238095235,13,5,13,6
32,7,7,8,1,5,0.0022764205932617188,0.2520269881762617,13,5,13,6
33,7,7,8,1,6,0.0030014514923095703,0.3468085106382979,13,5,13,6
34,7,7,8,1,7,0.0023069381713867188,0.25137567599573685,13,5,13,6
35,7,7,8,1,8,0.0019996166229248047,0.29787234042553196,13,5,13,6
36,7,7,8,1,9,0.003000020980834961,0.27121645817715845,13,5,13,6
37,7,7,8,1,10,0.0029637813568115234,0.2936170212765957,13,5,13,6
38,7,7,8,1,11,0.0037446022033691406,0.12823029353928403,13,5,13,6
39,7,7,8,1,12,0.0,0.22765186385590463,13,5,13,6
40,7,7,8,1,13,0.0,0.0,13,5,13,6
41,7,7,8,2,1,0.008037567138671875,0.0,1,1,1,1
