,seed,num_timesteps,num_defenders,num_clusters,dims,defense_time_threshold,iteration_number,iteration_time,gap,iterations_to_converge,def_support,defender_actions_size,attacker_actions_size
0,1,8,2,10,7,1,1,0.002074003219604492,0.3202180334639846,4,1,2,3
1,1,8,2,10,7,1,2,0.0020618438720703125,0.3998666742286854,4,1,2,3
2,1,8,2,10,7,1,3,0.0025212764739990234,0.18625574826601232,4,1,2,3
3,1,8,2,10,7,1,4,0.0023169517517089844,0.0,4,1,2,3
4,2,8,2,10,7,1,1,0.0021409988403320312,0.29027582897865534,12,5,7,6
5,2,8,2,10,7,1,2,0.0030028820037841797,0.4509394181846609,12,5,7,6
6,2,8,2,10,7,1,3,0.002200603485107422,0.28512714472551326,12,5,7,6
7,2,8,2,10,7,1,4,0.0030829906463623047,0.3798116651989094,12,5,7,6
8,2,8,2,10,7,1,5,0.0020096302032470703,0.24260714548863993,12,5,7,6
9,2,8,2,10,7,1,6,0.002789735794067383,0.3159851515855722,12,5,7,6
10,2,8,2,10,7,1,7,0.004045009613037109,0.17248547809758058,12,5,7,6
11,2,8,2,10,7,1,8,0.003130197525024414,0.01568577515175179,12,5,7,6
12,2,8,2,10,7,1,9,0.0025129318237304688,0.05434644069889599,12,5,7,6
13,2,8,2,10,7,1,10,0.004201650619506836,0.0312737596211799,12,5,7,6
14,2,8,2,10,7,1,11,0.006237030029296875,0.002253788052537231,12,5,7,6
15,2,8,2,10,7,1,12,0.004603147506713867,0.0,12,5,7,6
16,3,8,2,10,7,1,1,0.0020072460174560547,0.4488921362323427,2,1,2,2
17,3,8,2,10,7,1,2,0.0015156269073486328,0.0,2,1,2,2
18,4,8,2,10,7,1,1,0.003026247024536133,0.14168469243081216,6,3,5,4
19,4,8,2,10,7,1,2,0.0025184154510498047,0.12310914746839596,6,3,5,4
20,4,8,2,10,7,1,3,0.0020613670349121094,0.36241834351664814,6,3,5,4
21,4,8,2,10,7,1,4,0.0032579898834228516,0.1403891198831907,6,3,5,4
22,4,8,2,10,7,1,5,0.002012968063354492,0.06294658295979527,6,3,5,4
23,4,8,2,10,7,1,6,0.0035474300384521484,0.0,6,3,5,4
24,5,8,2,10,7,1,1,0.0010089874267578125,0.5550193686869901,4,1,3,4
25,5,8,2,10,7,1,2,0.002086162567138672,0.29876181500289134,4,1,3,4
26,5,8,2,10,7,1,3,0.0020079612731933594,0.1736383047399611,4,1,3,4
27,5,8,2,10,7,1,4,0.0035653114318847656,0.0,4,1,3,4
28,6,8,2,10,7,1,1,0.0010826587677001953,0.38340627746512435,13,3,13,5
29,6,8,2,10,7,1,2,0.0020139217376708984,0.2744361760326821,13,3,13,5
30,6,8,2,10,7,1,3,0.0020101070404052734,0.2459640811770053,13,3,13,5
31,6,8,2,10,7,1,4,0.0025260448455810547,0.3756121868340795,13,3,13,5
32,6,8,2,10,7,1,5,0.0030927658081054688,0.23495629719702238,13,3,13,5
33,6,8,2,10,7,1,6,0.003108501434326172,0.13975561835048445,13,3,13,5
34,6,8,2,10,7,1,7,0.002515554428100586,0.09518834274304455,13,3,13,5
35,6,8,2,10,7,1,8,0.0030498504638671875,0.0968803282030733,13,3,13,5
36,6,8,2,10,7,1,9,0.0035219192504882812,0.08250848253811738,13,3,13,5
37,6,8,2,10,7,1,10,0.0035276412963867188,0.10185718413701716,13,3,13,5
38,6,8,2,10,7,1,11,0.003172636032104492,0.07667002642156079,13,3,13,5
39,6,8,2,10,7,1,12,0.0030236244201660156,0.07428591379718597,13,3,13,5
40,6,8,2,10,7,1,13,0.003519773483276367,0.0,13,3,13,5
41,7,8,2,10,7,1,1,0.002012491226196289,0.5937028458770951,7,2,6,5
42,7,8,2,10,7,1,2,0.0011653900146484375,0.4602733913112774,7,2,6,5
43,7,8,2,10,7,1,3,0.0031867027282714844,0.4927632337077985,7,2,6,5
44,7,8,2,10,7,1,4,0.006594181060791016,0.4385582435255936,7,2,6,5
45,7,8,2,10,7,1,5,0.003003835678100586,0.25771706653330995,7,2,6,5
46,7,8,2,10,7,1,6,0.0025124549865722656,0.2412637093983923,7,2,6,5
47,7,8,2,10,7,1,7,0.00836801528930664,0.0,7,2,6,5
48,8,8,2,10,7,1,1,0.0020265579223632812,0.2906358273952543,4,1,4,3
49,8,8,2,10,7,1,2,0.0030126571655273438,0.39689365013436106,4,1,4,3
50,8,8,2,10,7,1,3,0.006761789321899414,0.18073427622022548,4,1,4,3
51,8,8,2,10,7,1,4,0.004143476486206055,0.0,4,1,4,3
52,9,8,2,10,7,1,1,0.00211334228515625,0.6532136738884848,20,6,18,9
53,9,8,2,10,7,1,2,0.0041048526763916016,0.31611738723453886,20,6,18,9
54,9,8,2,10,7,1,3,0.004095792770385742,0.27934027451043564,20,6,18,9
55,9,8,2,10,7,1,4,0.0030858516693115234,0.332998759759654,20,6,18,9
56,9,8,2,10,7,1,5,0.003021717071533203,0.1696470847978796,20,6,18,9
57,9,8,2,10,7,1,6,0.004691362380981445,0.2478771756343715,20,6,18,9
58,9,8,2,10,7,1,7,0.004052639007568359,0.22393496850087313,20,6,18,9
59,9,8,2,10,7,1,8,0.005072355270385742,0.22929473632667624,20,6,18,9
60,9,8,2,10,7,1,9,0.005599498748779297,0.29084350041577844,20,6,18,9
61,9,8,2,10,7,1,10,0.004717826843261719,0.20343402718844683,20,6,18,9
62,9,8,2,10,7,1,11,0.004358530044555664,0.15569623325457382,20,6,18,9
63,9,8,2,10,7,1,12,0.004584789276123047,0.1377230353192263,20,6,18,9
64,9,8,2,10,7,1,13,0.004872560501098633,0.08582931902816682,20,6,18,9
65,9,8,2,10,7,1,14,0.004526376724243164,0.09592941466549576,20,6,18,9
66,9,8,2,10,7,1,15,0.004053592681884766,0.058790839600604494,20,6,18,9
67,9,8,2,10,7,1,16,0.008352518081665039,0.09302272400018963,20,6,18,9
68,9,8,2,10,7,1,17,0.003999948501586914,0.14442673388986205,20,6,18,9
69,9,8,2,10,7,1,18,0.006630897521972656,0.32208109460287626,20,6,18,9
70,9,8,2,10,7,1,19,0.011620283126831055,0.17591941762600471,20,6,18,9
71,9,8,2,10,7,1,20,0.011861324310302734,5.551115123125783e-17,20,6,18,9
72,10,8,2,10,7,1,1,0.0031387805938720703,0.18614187711412378,10,5,9,6
73,10,8,2,10,7,1,2,0.002012014389038086,0.647693673581261,10,5,9,6
74,10,8,2,10,7,1,3,0.0035238265991210938,0.20035611242568785,10,5,9,6
75,10,8,2,10,7,1,4,0.004062175750732422,0.5199259603937005,10,5,9,6
76,10,8,2,10,7,1,5,0.0030219554901123047,0.06455912809899134,10,5,9,6
77,10,8,2,10,7,1,6,0.004575490951538086,0.044060149087470135,10,5,9,6
78,10,8,2,10,7,1,7,0.0051593780517578125,0.052337227840336786,10,5,9,6
79,10,8,2,10,7,1,8,0.006253480911254883,0.4349035725965458,10,5,9,6
80,10,8,2,10,7,1,9,0.0052411556243896484,0.052492050175477034,10,5,9,6
81,10,8,2,10,7,1,10,0.005587577819824219,0.0,10,5,9,6
