,seed,num_timesteps,num_attackers,num_defenders,num_clusters,dims,defense_time_threshold,force_return,num_defender_actions,nash_value,nash_support,nash_runtime,mip_value,mip_support,mip_runtime
0,1,10,1,2,10,7,2,False,2401,-0.25360478726289115,8,0.236281156539917,"[-0.40068249102802195, -0.3176999753081526, -0.28974976960374516, -0.27217254489644127, -0.26462832555160387, -0.25544713252285756, -0.2540559665539354, -0.25360478726289104]","[1, 2, 3, 4, 5, 6, 7, 8]","[0.7710902690887451, 4.629194021224976, 2.6587727069854736, 1.2794559001922607, 1.3438737392425537, 0.3175954818725586, 0.5570852756500244, 0.26291918754577637]"
1,2,10,1,2,10,7,2,False,2401,-0.2631362649722988,9,0.17386507987976074,"[-0.44987933261671675, -0.34632841673516046, -0.3042734422751945, -0.28005588874879345, -0.2713812411752375, -0.26652327315291896, -0.26456859061629023, -0.2634688843617009, -0.2631362649722988]","[1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.5698845386505127, 10.735763549804688, 5.367239475250244, 1.5653932094573975, 1.0370416641235352, 0.7829244136810303, 0.6856377124786377, 0.3615739345550537, 0.2400190830230713]"
2,3,10,1,2,10,7,2,False,2401,-0.27076294980155863,10,0.17122340202331543,"[-0.4811407822614249, -0.3309055233967805, -0.2972040809890757, -0.28277266127289824, -0.27796615861938845, -0.2751337084774713, -0.27245230323797387, -0.271647208884786, -0.2710106820211467, -0.2707629498015586]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[0.6406888961791992, 3.4138107299804688, 2.3372457027435303, 1.031358003616333, 1.0299732685089111, 1.1412649154663086, 0.9120974540710449, 0.8171696662902832, 0.5229897499084473, 0.2665374279022217]"
3,4,10,1,2,10,7,2,False,2401,-0.2803832123405833,10,0.1721947193145752,"[-0.46118024995065876, -0.3426789214769698, -0.3232073516232221, -0.3000054612883472, -0.2917335742081456, -0.2850043658189463, -0.28276818011584604, -0.2807384977489899, -0.2805328560986138, -0.2803832123405833]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[0.6343221664428711, 1.2823545932769775, 5.4802000522613525, 2.9540319442749023, 1.6006827354431152, 1.152747631072998, 1.1233751773834229, 0.3754000663757324, 0.38336873054504395, 0.25189876556396484]"
4,5,10,1,2,10,7,2,False,2401,-0.2488906341365553,10,0.1723177433013916,"[-0.4965335556086801, -0.2926772833478436, -0.26695950168062726, -0.2623035617778565, -0.2571180733012578, -0.2527697395580563, -0.2495384947357468, -0.2492621740328053, -0.24908275747020514, -0.2488906341365553]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[0.7090640068054199, 0.9008779525756836, 0.8533716201782227, 0.981365442276001, 0.8981635570526123, 0.7469024658203125, 0.34047698974609375, 0.40129613876342773, 0.39477086067199707, 0.23463654518127441]"
5,6,10,1,2,10,7,2,False,2401,-0.2526632881921577,9,0.17928647994995117,"[-0.468225517657905, -0.31069253834598015, -0.27769033514644803, -0.26280811854000335, -0.2567220126254787, -0.25483576208738185, -0.25349585583144907, -0.2526885816835415, -0.2526632881921576]","[1, 2, 3, 4, 5, 6, 7, 8, 9]","[1.2646329402923584, 2.888512372970581, 3.867436170578003, 1.3778088092803955, 1.0185589790344238, 0.8728044033050537, 0.9310190677642822, 0.3735947608947754, 0.2523188591003418]"
6,7,10,1,2,10,7,2,False,2401,-0.27581842968900966,10,0.17736554145812988,"[-0.5542275947385978, -0.3617897167056349, -0.3135426967476911, -0.2966784461140175, -0.2862352741381885, -0.2802854424888904, -0.27764832668129186, -0.2765563970104806, -0.27635721835485105, -0.27581842968900966]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[1.1114680767059326, 15.565851211547852, 8.417242050170898, 2.8729419708251953, 1.6059050559997559, 1.2526402473449707, 0.9188294410705566, 0.5274171829223633, 0.47595739364624023, 0.2720506191253662]"
7,8,10,1,2,10,7,2,False,2401,-0.2790115391126209,10,0.18461179733276367,"[-0.4691986366535408, -0.3380366030038281, -0.3186770808656679, -0.303073091083326, -0.2908481715990843, -0.28605435679116614, -0.28323113808376965, -0.281309639195794, -0.2795539978574386, -0.2790115391126209]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[0.7301604747772217, 4.078875541687012, 5.497236251831055, 5.926674127578735, 2.674673080444336, 1.3293232917785645, 0.9735293388366699, 0.7237510681152344, 0.576554536819458, 0.2836930751800537]"
8,9,10,1,2,10,7,2,False,2401,-0.24723811950336894,9,0.24462270736694336,"[-0.37689756841129995, -0.30072469786632616, -0.26509648795699997, -0.2535193712320194, -0.2499744343893755, -0.24888801857195747, -0.24767881913393255, -0.24725021860285276, -0.24723811950336888]","[1, 2, 3, 4, 5, 6, 7, 8, 9]","[2.8923544883728027, 1.7235264778137207, 0.8227708339691162, 0.5088160037994385, 0.9476785659790039, 1.3135008811950684, 0.35724735260009766, 0.3139312267303467, 0.23041200637817383]"
9,10,10,1,2,10,7,2,False,2401,-0.26595639490697387,10,0.21065187454223633,"[-0.44210547472802414, -0.3388184199335233, -0.2994555037905349, -0.2898995405632164, -0.27381709087042067, -0.27039476746381536, -0.26872406090278533, -0.2674781860946349, -0.2662097856951945, -0.26595639490697387]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[0.8763759136199951, 4.857979774475098, 2.6047306060791016, 1.8648781776428223, 1.1498377323150635, 0.8671245574951172, 1.0314853191375732, 0.7645611763000488, 0.5763189792633057, 0.2645864486694336]"
