,num_timesteps,num_attackers,num_defenders,defense_time_threshold,interval_number,iteration_times,gaps,iteration_number
0,7,1,1,1,1,0.2045433521270752,0.5984336059865172,5
1,7,1,1,1,2,0.19715356826782227,0.5209103734517053,10
2,7,1,1,1,3,0.2188863754272461,0.2783757336987255,15
3,7,1,1,1,4,0.19669318199157715,0.22827305144539284,20
4,7,1,1,1,5,0.19078350067138672,0.2982458122466343,25
5,7,1,1,1,6,0.19240474700927734,0.27595201715902784,30
6,7,1,1,1,7,0.18467164039611816,0.24471155223913588,35
7,7,1,1,1,8,0.1949918270111084,0.1875755694469512,40
8,7,1,1,1,9,0.17309808731079102,0.1863260046709,45
9,7,1,1,1,10,0.20076489448547363,0.1666971810828728,50
10,7,1,1,1,11,0.19323015213012695,0.1491871321208751,55
11,7,1,1,1,12,0.20891785621643066,0.12912869506310154,60
12,7,1,1,1,13,0.21536564826965332,0.10467972454723662,65
13,7,1,1,1,14,0.21449875831604004,0.09927294917171603,70
14,7,1,1,1,15,0.22267389297485352,0.09663340352074457,75
15,7,1,1,1,16,0.19065165519714355,0.08018398503837953,80
16,7,1,1,1,17,0.19874310493469238,0.06682554148973163,85
17,7,1,1,1,18,0.2319929599761963,0.05671016257076755,90
18,7,1,1,1,19,0.1933903694152832,0.05214800933658437,95
19,7,1,1,1,20,0.20179057121276855,0.04738160966128646,100
20,7,1,1,1,21,0.15282201766967773,0.0432772639239829,105
21,7,1,1,1,22,0.19643282890319824,0.05118538487976798,110
22,7,1,1,1,23,0.2118511199951172,0.042356340022351,115
23,7,1,1,1,24,0.24805927276611328,0.04426350673639701,120
24,7,1,1,1,25,0.16663670539855957,0.04294463202853149,125
25,7,1,1,1,26,0.2039937973022461,0.03988640902691365,130
26,7,1,1,1,27,0.2494046688079834,0.039436646990742896,135
27,7,1,1,1,28,0.16614294052124023,0.0402969575545713,140
28,7,1,1,1,29,0.15398836135864258,0.041963685939249706,145
29,7,1,1,1,30,0.1821117401123047,0.03767265033165246,150
30,7,1,1,1,31,0.15833163261413574,0.037989818796304475,155
31,7,1,1,1,32,0.156660795211792,0.03627164864282795,160
32,7,1,1,1,33,0.20836973190307617,0.0319609058922522,165
