,seed,num_timesteps,num_defenders,defense_time_threshold,defender_utility,support,runtime
0,1,8,3,1,-0.020673758875379256,2,530.460129737854
1,2,8,3,1,-0.020673618242828873,1,535.4693276882172
2,3,8,3,1,-0.020673902766247688,2,539.782909154892
3,4,8,3,1,-0.020673776897721208,1,540.741646528244
4,5,8,3,1,-0.02067382900708877,2,539.8659937381744
5,6,8,3,1,-0.02067411921040999,2,540.8875586986542
6,7,8,3,1,-0.0206736212822031,2,540.311288356781
7,8,8,3,1,-0.020674912351773274,2,549.9671850204468
8,9,8,3,1,-0.020674118354983895,1,546.3723287582397
9,10,8,3,1,-0.020673890049755485,2,551.1021826267242
