,seed,num_timesteps,num_defenders,defense_time_threshold,iteration_number,iteration_time,gap,iterations_to_converge,def_support,defender_actions_size,attacker_actions_size
0,1,8,2,1,1,0.39589405059814453,0.8375344526561261,17,6,17,9
1,1,8,2,1,2,0.00616765022277832,0.23185394044921648,17,6,17,9
2,1,8,2,1,3,0.0035097599029541016,0.22486599448673528,17,6,17,9
3,1,8,2,1,4,0.007668495178222656,0.5720729409066634,17,6,17,9
4,1,8,2,1,5,0.010944843292236328,0.31463355505560986,17,6,17,9
5,1,8,2,1,6,0.001504659652709961,0.6933691013899261,17,6,17,9
6,1,8,2,1,7,0.01233983039855957,0.29558027675447396,17,6,17,9
7,1,8,2,1,8,0.007579803466796875,0.7752166257186281,17,6,17,9
8,1,8,2,1,9,0.007578611373901367,0.21876325456014145,17,6,17,9
9,1,8,2,1,10,0.008234977722167969,0.34744887123064544,17,6,17,9
10,1,8,2,1,11,0.004226207733154297,0.17707611739196438,17,6,17,9
11,1,8,2,1,12,0.014007806777954102,0.3987533200235007,17,6,17,9
12,1,8,2,1,13,0.0072481632232666016,0.15693892126746267,17,6,17,9
13,1,8,2,1,14,0.014027118682861328,0.029905812272855048,17,6,17,9
14,1,8,2,1,15,0.010950088500976562,0.026489100580554426,17,6,17,9
15,1,8,2,1,16,0.011133432388305664,0.031764817352155195,17,6,17,9
16,1,8,2,1,17,0.01425027847290039,1.1102230246251565e-16,17,6,17,9
17,2,8,2,1,1,0.004126310348510742,0.9085979034213871,23,5,21,9
18,2,8,2,1,2,0.004334688186645508,0.38108399952611083,23,5,21,9
19,2,8,2,1,3,0.0050427913665771484,0.3628981553314251,23,5,21,9
20,2,8,2,1,4,0.005633115768432617,0.8261846689662965,23,5,21,9
21,2,8,2,1,5,0.005519390106201172,0.35692841495109984,23,5,21,9
22,2,8,2,1,6,0.007108449935913086,0.2540126482709075,23,5,21,9
23,2,8,2,1,7,0.006754398345947266,0.2714901469812572,23,5,21,9
24,2,8,2,1,8,0.008450984954833984,0.3422886464781131,23,5,21,9
25,2,8,2,1,9,0.0072324275970458984,0.21653175219338883,23,5,21,9
26,2,8,2,1,10,0.008316516876220703,0.7247941809036816,23,5,21,9
27,2,8,2,1,11,0.00908660888671875,0.1915430369802924,23,5,21,9
28,2,8,2,1,12,0.010586738586425781,0.5337618829155268,23,5,21,9
29,2,8,2,1,13,0.009791851043701172,0.14392525252681687,23,5,21,9
30,2,8,2,1,14,0.009776830673217773,0.022331097758043206,23,5,21,9
31,2,8,2,1,15,0.011868000030517578,0.02751742812080815,23,5,21,9
32,2,8,2,1,16,0.012720584869384766,0.019903195966587628,23,5,21,9
33,2,8,2,1,17,0.012587547302246094,0.019462535409214055,23,5,21,9
34,2,8,2,1,18,0.010802507400512695,0.019916677007084216,23,5,21,9
35,2,8,2,1,19,0.01179647445678711,0.019999573959766148,23,5,21,9
36,2,8,2,1,20,0.010337114334106445,0.020479432976471257,23,5,21,9
37,2,8,2,1,21,0.014634847640991211,0.020408664816299438,23,5,21,9
38,2,8,2,1,22,0.005436420440673828,0.017998656969783977,23,5,21,9
39,2,8,2,1,23,0.018863677978515625,1.1102230246251565e-16,23,5,21,9
40,3,8,2,1,1,0.006395578384399414,0.4347288549470901,15,5,15,6
