,seed,num_timesteps,num_defenders,defense_time_threshold,defender_utility,support,runtime
0,1,8,3,1,-0.5607813131862052,2,0.031772613525390625
1,2,8,3,1,-0.2274047028164099,2,0.028896808624267578
2,3,8,3,1,-0.15977003304292436,1,0.027794599533081055
3,4,8,3,1,-0.046300980501147386,1,0.027112960815429688
4,5,8,3,1,-0.23585350164858898,1,0.02694559097290039
5,6,8,3,1,-0.06335697443807276,4,0.026958227157592773
6,7,8,3,1,-0.11106425569305423,2,0.025945663452148438
7,8,8,3,1,-0.08014303556034141,1,0.026375770568847656
8,9,8,3,1,-0.06801276626734674,5,0.0295255184173584
9,10,8,3,1,-0.10924532462148628,1,0.02652430534362793
