,seed,num_timesteps,num_defenders,num_clusters,dims,defense_time_threshold,defender_utility,support,runtime
0,1,8,2,10,7,1,-0.32425518281866067,4,0.45726752281188965
1,2,8,2,10,7,1,-0.24886048636551747,4,0.579033374786377
2,3,8,2,10,7,1,-0.3230558862528848,3,0.42015600204467773
3,4,8,2,10,7,1,-0.47287046285554635,1,0.419234037399292
4,5,8,2,10,7,1,-0.1224953297661645,2,0.3749876022338867
5,6,8,2,10,7,1,-0.3008564977875893,2,0.29763078689575195
6,7,8,2,10,7,1,-0.10383276342436336,3,0.4386892318725586
7,8,8,2,10,7,1,-0.06173330182463765,2,0.36688733100891113
8,9,8,2,10,7,1,-0.13468639139334826,1,0.4068303108215332
9,10,8,2,10,7,1,-0.11524146324458392,4,0.41256046295166016
