,Unnamed: 0,num_timesteps,num_defenders,num_clusters,dims,defense_time_threshold,defender_utility,support,runtime
0,0,7,1,7,7,1,-0.4052471101914385,4,0.0082967281341552
1,1,7,1,7,7,2,-0.4178219960318234,4,0.0075786113739013
2,2,7,1,7,8,1,-0.3684854638105539,5,0.0110383033752441
3,3,7,1,7,8,2,-0.7865803625348039,1,0.0060071945190429
4,4,7,1,7,9,1,-0.3538746887050234,5,0.0100815296173095
5,5,7,1,7,9,2,-0.7870220186613368,1,0.006361961364746
6,6,7,1,7,10,1,-0.3629593504781496,5,0.0070059299468994
7,7,7,1,7,10,2,-0.7870432069638549,1,0.0059995651245117
8,8,7,1,8,7,1,-0.3515441642387052,4,0.0102019309997558
9,9,7,1,8,7,2,-0.3733009596090643,4,0.0082337856292724
10,10,7,1,8,8,1,-0.3636790548266673,4,0.0100460052490234
11,11,7,1,8,8,2,-0.9940975582395124,1,0.0070600509643554
12,12,7,1,8,9,1,-0.4030695972401648,4,0.0085530281066894
13,13,7,1,8,9,2,-0.6574938482454121,2,0.0071170330047607
14,14,7,1,8,10,1,-0.3681630226728971,4,0.0080745220184326
15,15,7,1,8,10,2,-0.9945242980799796,1,0.0060529708862304
16,16,7,1,9,7,1,-0.3478824344031095,5,0.0138099193572998
17,17,7,1,9,7,2,-0.3699618987308169,4,0.0101284980773925
18,18,7,1,9,8,1,-0.3603953006672759,4,0.0111141204833984
19,19,7,1,9,8,2,-0.9858854104571382,1,0.008094310760498
20,20,7,1,9,9,1,-0.4003284155656696,4,0.0100777149200439
21,21,7,1,9,9,2,-0.6492826105340255,2,0.0090632438659667
22,22,7,1,9,10,1,-0.3648678557426169,4,0.0108208656311035
23,23,7,1,9,10,2,-0.9859685454018234,1,0.0084853172302246
24,24,7,1,10,7,1,-0.3928142539227847,5,0.0162947177886962
25,25,7,1,10,7,2,-0.791408656162396,2,0.0069999694824218
26,26,7,1,10,8,1,-0.4306879602911517,4,0.0211400985717773
27,27,7,1,10,8,2,-0.8213272534854925,1,0.0092172622680664
28,28,7,1,10,9,1,-0.5103849432310451,4,0.0127243995666503
29,29,7,1,10,9,2,-0.8208811136510368,1,0.0111181735992431
30,30,7,1,10,10,1,-0.4235962383886115,3,0.0130677223205566
31,31,7,1,10,10,2,-0.6584609828361803,2,0.0100820064544677
32,32,7,2,7,7,1,-0.2224124069273444,6,0.0420806407928466
33,33,7,2,7,7,2,-0.2617719500968544,7,0.0289998054504394
34,34,7,2,7,8,1,-0.2489630356286657,6,0.0246074199676513
35,35,7,2,7,8,2,-0.7859277671825537,1,0.0063841342926025
36,36,7,2,7,9,1,-0.2794586870336656,6,0.0176537036895751
37,37,7,2,7,9,2,-0.7868103075525464,1,0.0079998970031738
38,38,7,2,7,10,1,-0.2784755470363971,6,0.0130000114440917
39,39,7,2,7,10,2,-0.7868526247848868,1,0.0060000419616699
40,40,7,2,8,7,1,-0.2084311437356136,7,0.0714871883392334
41,41,7,2,8,7,2,-0.2892797916949709,6,0.0232634544372558
42,42,7,2,8,8,1,-0.2240851633669945,7,0.0531527996063232
43,43,7,2,8,8,2,-0.9936752915265548,1,0.0090000629425048
44,44,7,2,8,9,1,-0.4029901782821016,3,0.0252497196197509
45,45,7,2,8,9,2,-0.6573741830926447,2,0.012742280960083
46,46,7,2,8,10,1,-0.231398883812173,7,0.0269618034362792
47,47,7,2,8,10,2,-0.9945280430850828,1,0.0100538730621337
48,48,7,2,9,7,1,-0.1857639668730673,8,0.137852668762207
49,49,7,2,9,7,2,-0.2918189711336132,6,0.0235984325408935
