,seed,num_timesteps,num_attackers,num_defenders,num_clusters,dims,defense_time_threshold,force_return,num_defender_actions,nash_value,nash_support,nash_runtime,mip_value,mip_support,mip_runtime
0,1,8,1,1,10,7,1,False,9075,-0.2289783193897651,11,0.9041404724121094,"[-0.5044326170711041, -0.31089369397920674, -0.26797197513330717, -0.2539575820322724, -0.24143695009263985, -0.23710604221520137, -0.23296215805545575, -0.23042116698288623, -0.2294109498968104, -0.22919982555587592, -0.22897831938976512]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[16.936410427093506, 33.8625864982605, 75.9526424407959, 30.822558641433716, 7.501953601837158, 8.403522729873657, 5.251911878585815, 3.2750823497772217, 2.319998264312744, 3.021030902862549, 1.4140841960906982]"
1,2,8,1,1,10,7,1,False,9075,-0.2202264226839788,11,1.5249030590057373,"[-0.4182092178640903, -0.27913876557878464, -0.25800179224542086, -0.2365940626189304, -0.23342735820722646, -0.22769607032116362, -0.2237956293923074, -0.22129815960348564, -0.2204734863628932, -0.22028696301680625, -0.2202264226839788]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[8.704082727432251, 95.46329140663147, 67.65607476234436, 10.861873865127563, 15.869523048400879, 11.722759485244751, 4.222073316574097, 3.175313711166382, 1.6846098899841309, 1.8566548824310303, 1.6261048316955566]"
2,3,8,1,1,10,7,1,False,9075,-0.22652810693921,11,1.4333736896514893,"[-0.45549993364587926, -0.2986982951342234, -0.2636537329206165, -0.2524122194092454, -0.2429060263245781, -0.23553530811155812, -0.230497050207505, -0.228503558567187, -0.22696116223105353, -0.22654302849307417, -0.22652810693920997]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[4.228636741638184, 262.91377210617065, 41.46321511268616, 34.24675416946411, 19.43769669532776, 9.891642093658447, 2.0444581508636475, 4.281151294708252, 3.8953070640563965, 1.1454014778137207, 0.9920952320098877]"
3,4,8,1,1,10,7,1,False,9075,-0.2127796600019508,11,0.9891774654388428,"[-0.40808381310089725, -0.28319613705544316, -0.24746478951679046, -0.22919373036789392, -0.22323210338958893, -0.21828824441859748, -0.2163287841480236, -0.2146258317512314, -0.21327998062331288, -0.21302876436448476, -0.21277966000195084]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[3.7767703533172607, 80.34049606323242, 54.60495638847351, 15.125559091567993, 7.795512676239014, 5.6969921588897705, 5.907084703445435, 3.8214871883392334, 3.0848541259765625, 2.223503828048706, 0.9730045795440674]"
4,5,8,1,1,10,7,1,False,9075,-0.2545468326491761,11,0.7553424835205078,"[-0.4665794904475682, -0.31029687693367736, -0.2896072132153034, -0.27405302587796493, -0.26970752757311606, -0.2635636645182161, -0.25927162310088386, -0.25581313985781945, -0.25489200330510736, -0.25469636067421336, -0.254546832649176]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[13.480432748794556, 277.72857213020325, 69.92882943153381, 65.95430779457092, 143.09567785263062, 96.9605040550232, 25.97431254386902, 4.275840759277344, 4.746843576431274, 4.196407318115234, 0.9923408031463623]"
5,6,8,1,1,10,7,1,False,9075,-0.2263296049213982,11,1.1400279998779297,"[-0.4586682047678752, -0.3078526169046087, -0.26319173479377356, -0.25073094808714835, -0.23618443110352236, -0.23303004225259774, -0.22995161561323, -0.22779766896081355, -0.2271654247587661, -0.22678409337782046, -0.22632960492139817]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[3.394660711288452, 60.965864181518555, 108.82606840133667, 55.145735025405884, 12.07710599899292, 11.648741722106934, 11.11459231376648, 6.782148599624634, 4.802178382873535, 3.738180637359619, 1.4181971549987793]"
6,7,8,1,1,10,7,1,False,9075,-0.2293915167671484,11,0.8278851509094238,"[-0.4840402518943999, -0.3310506919707057, -0.27707084439507856, -0.2542076729756768, -0.24529177799352056, -0.2349420216118133, -0.2334399148193564, -0.2305952482664003, -0.2301564549017431, -0.22960255439065044, -0.2293915167671483]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[14.644285440444946, 72.74372982978821, 52.32496953010559, 49.96389436721802, 28.48547077178955, 7.955239534378052, 6.638604640960693, 4.93562650680542, 5.313640356063843, 2.7199907302856445, 1.4122424125671387]"
7,8,8,1,1,10,7,1,False,9075,-0.24154852372549726,11,1.370213508605957,"[-0.4460545198711925, -0.30883189277340395, -0.2834065992654709, -0.26328499276908185, -0.25002301955844647, -0.24491915236143288, -0.24391740312195245, -0.242579843338185, -0.24178699943604895, -0.2416427311718634, -0.2415485237254973]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[9.689504384994507, 108.74848747253418, 41.39492750167847, 29.450010538101196, 9.139145374298096, 3.893005609512329, 6.549402475357056, 3.3170905113220215, 2.0790140628814697, 2.0000429153442383, 1.4502711296081543]"
8,9,8,1,1,10,7,1,False,9075,-0.2319505753119899,11,0.8543999195098877,"[-0.419637369493265, -0.3149184911583927, -0.270211238272332, -0.24852836247585713, -0.23862971835624316, -0.23586315057497415, -0.2346561708389312, -0.23366836459697166, -0.23264052546785252, -0.23203731799887659, -0.23195057531199]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[3.568195343017578, 73.07053542137146, 49.879801511764526, 23.635422468185425, 10.621997833251953, 6.612093448638916, 6.503409147262573, 6.360455274581909, 5.339927673339844, 1.8966751098632812, 1.1174952983856201]"
9,10,8,1,1,10,7,1,False,9075,-0.22936866107977918,11,0.9210662841796875,"[-0.3517097708107143, -0.27549143638279683, -0.25293760972276325, -0.24052773609259331, -0.2357374742995812, -0.23494412583973176, -0.23213977479797554, -0.23140426878906784, -0.2302771988651139, -0.22957376201446536, -0.22936866107977916]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[2.254662036895752, 43.00606632232666, 24.23946523666382, 11.173291206359863, 8.907924175262451, 14.585037231445312, 7.824857234954834, 7.681096315383911, 3.246194362640381, 1.8602421283721924, 1.273437738418579]"
