,num_timesteps,num_clusters,dims,defense_time_threshold,iteration_number,iteration_time,gap,iterations_to_converge,def_support,defender_actions_size,attacker_actions_size
0,7,7,7,1,1,0.002004861831665039,0.8069148936170213,17,6,15,6
1,7,7,7,1,2,0.0020041465759277344,0.8,17,6,15,6
2,7,7,7,1,3,0.0020051002502441406,0.3929634641407308,17,6,15,6
3,7,7,7,1,4,0.002655506134033203,0.23351063829787233,17,6,15,6
4,7,7,7,1,5,0.0023229122161865234,0.3468085106382979,17,6,15,6
5,7,7,7,1,6,0.0020036697387695312,0.2460565270595666,17,6,15,6
6,7,7,7,1,7,0.002007722854614258,0.22639804551190684,17,6,15,6
7,7,7,7,1,8,0.0020127296447753906,0.10851063829787233,17,6,15,6
8,7,7,7,1,9,0.002010345458984375,0.24680851063829787,17,6,15,6
9,7,7,7,1,10,0.0030183792114257812,0.18861788617886188,17,6,15,6
10,7,7,7,1,11,0.003021240234375,0.1560512468542668,17,6,15,6
11,7,7,7,1,12,0.002069234848022461,0.08663782579353319,17,6,15,6
12,7,7,7,1,13,0.0016274452209472656,0.07789940564535333,17,6,15,6
13,7,7,7,1,14,0.0,0.13350103840641184,17,6,15,6
14,7,7,7,1,15,0.0,0.07300282691823712,17,6,15,6
15,7,7,7,1,16,0.0,0.06689813564608249,17,6,15,6
16,7,7,7,1,17,0.015163660049438477,0.0,17,6,15,6
17,7,7,7,2,1,0.0010051727294921875,0.8069148936170213,9,3,8,4
18,7,7,7,2,2,0.0010216236114501953,0.8,9,3,8,4
19,7,7,7,2,3,0.0010023117065429688,0.3929634641407308,9,3,8,4
20,7,7,7,2,4,0.0010018348693847656,0.5872340425531914,9,3,8,4
21,7,7,7,2,5,0.001001596450805664,0.3469085978109967,9,3,8,4
22,7,7,7,2,6,0.0010018348693847656,0.2520269881762617,9,3,8,4
23,7,7,7,2,7,0.0010018348693847656,0.3468085106382979,9,3,8,4
24,7,7,7,2,8,0.0020041465759277344,0.24192949907235628,9,3,8,4
25,7,7,7,2,9,0.0010023117065429688,1.1102230246251565e-16,9,3,8,4
26,7,7,8,1,1,0.0009999275207519531,0.8069148936170213,10,3,7,5
27,7,7,8,1,2,0.002000093460083008,0.8,10,3,7,5
28,7,7,8,1,3,0.0009999275207519531,0.5907523104828262,10,3,7,5
29,7,7,8,1,4,0.0010001659393310547,0.6297872340425532,10,3,7,5
30,7,7,8,1,5,0.0,0.35238095238095235,10,3,7,5
31,7,7,8,1,6,0.0,0.23351063829787233,10,3,7,5
32,7,7,8,1,7,0.0,0.34680851063829793,10,3,7,5
33,7,7,8,1,8,0.00531315803527832,0.24192949907235625,10,3,7,5
34,7,7,8,1,9,0.002006053924560547,0.03686552635238499,10,3,7,5
35,7,7,8,1,10,0.002005338668823242,1.1102230246251565e-16,10,3,7,5
36,7,7,8,2,1,0.00535893440246582,0.0,1,1,1,1
37,7,7,9,1,1,0.0017397403717041016,0.8069148936170213,11,5,9,7
38,7,7,9,1,2,0.002003908157348633,0.8,11,5,9,7
39,7,7,9,1,3,0.0020041465759277344,0.3929634641407308,11,5,9,7
40,7,7,9,1,4,0.0,0.23351063829787233,11,5,9,7
41,7,7,9,1,5,0.0,0.23933743224658205,11,5,9,7
42,7,7,9,1,6,0.0,0.1842230827609021,11,5,9,7
43,7,7,9,1,7,0.0,0.17234042553191492,11,5,9,7
44,7,7,9,1,8,0.008101701736450195,0.2541135022181587,11,5,9,7
45,7,7,9,1,9,0.002004384994506836,0.1878409969941354,11,5,9,7
46,7,7,9,1,10,0.004008293151855469,0.2083831748210609,11,5,9,7
47,7,7,9,1,11,0.0017404556274414062,5.551115123125783e-17,11,5,9,7
48,7,7,9,2,1,0.0,0.8069148936170213,4,1,3,3
49,7,7,9,2,2,0.008109331130981445,0.8,4,1,3,3
50,7,7,9,2,3,0.0020041465759277344,0.5907523104828262,4,1,3,3
51,7,7,9,2,4,0.0,0.0,4,1,3,3
52,7,7,10,1,1,0.0,0.8069148936170213,10,3,7,5
53,7,7,10,1,2,0.0,0.8,10,3,7,5
54,7,7,10,1,3,0.003702402114868164,0.5907523104828262,10,3,7,5
55,7,7,10,1,4,0.0020046234130859375,0.6297872340425532,10,3,7,5
56,7,7,10,1,5,0.002655506134033203,0.35238095238095235,10,3,7,5
57,7,7,10,1,6,0.0020051002502441406,0.23351063829787233,10,3,7,5
58,7,7,10,1,7,0.002138853073120117,0.34680851063829793,10,3,7,5
59,7,7,10,1,8,0.002505064010620117,0.24192949907235625,10,3,7,5
60,7,7,10,1,9,0.002000093460083008,0.03686552635238499,10,3,7,5
61,7,7,10,1,10,0.002000093460083008,0.0,10,3,7,5
62,7,7,10,2,1,0.0011818408966064453,0.0,1,1,1,1
