,num_timesteps,num_attackers,num_defenders,defense_time_threshold,interval_number,iteration_times,gaps,iteration_number
0,8,1,1,1,1,0.729562520980835,0.5494584308971867,5
1,8,1,1,1,2,0.7197725772857666,0.6051349905755986,10
2,8,1,1,1,3,0.8309195041656494,0.34201115312425473,15
3,8,1,1,1,4,0.8309319019317627,0.24680073319985596,20
4,8,1,1,1,5,0.7390434741973877,0.15780037775538902,25
5,8,1,1,1,6,0.6928486824035645,0.11489145128714262,30
6,8,1,1,1,7,0.8137979507446289,0.08759477614223465,35
7,8,1,1,1,8,0.7969217300415039,0.07949898754510798,40
8,8,1,1,1,9,0.7735922336578369,0.06336916311836294,45
9,8,1,1,1,10,0.7407791614532471,0.039444873057474794,50
10,8,1,1,1,11,0.7337040901184082,0.03931047016996869,55
11,8,1,1,1,12,0.7989611625671387,0.03811159823842725,60
12,8,1,1,1,13,0.7666065692901611,0.034493194450731623,65
13,8,1,1,1,14,0.7883105278015137,0.026375422059680798,70
14,8,1,1,1,15,0.7319667339324951,0.030866854614061467,75
15,8,1,1,1,16,0.7328410148620605,0.02696299405549807,80
16,8,1,1,1,17,0.7114884853363037,0.025578921866081905,85
17,8,1,1,1,18,0.7071018218994141,0.0238686426641036,90
18,8,1,1,1,19,0.7455291748046875,0.022802100242978462,95
19,8,1,1,1,20,0.780266284942627,0.02703887822492701,100
20,8,1,1,1,21,0.8305380344390869,0.024932066653191476,105
21,8,1,1,1,22,0.7984437942504883,0.018786993306035837,110
22,8,1,1,1,23,0.7290806770324707,0.01780169330119674,115
23,8,1,1,1,24,0.7587137222290039,0.017917707650012216,120
24,8,1,1,1,25,0.7297549247741699,0.018859418566488317,125
25,8,1,1,1,26,0.7466483116149902,0.018137214429996384,130
26,8,1,1,1,27,0.766913652420044,0.01684523210712019,135
27,8,1,1,1,28,0.8139429092407227,0.02610461289500965,140
28,8,1,1,1,29,0.7898070812225342,0.020905284282706438,145
29,8,1,1,1,30,0.8063294887542725,0.02699648582426395,150
30,8,1,1,1,31,0.8270387649536133,0.029705725257274995,155
31,8,1,1,1,32,0.8211016654968262,0.022150063735514647,160
32,8,1,1,1,33,0.8119006156921387,0.02346168335559884,165
33,8,1,1,1,34,0.7703936100006104,0.023144292558804458,170
34,8,1,1,1,35,0.8297781944274902,0.02472550409096863,175
35,8,1,1,1,36,0.785813570022583,0.022836072529803686,180
36,8,1,1,1,37,0.7368621826171875,0.02148860481252368,185
37,8,1,1,1,38,0.8033289909362793,0.026549748452764255,190
38,8,1,1,1,39,0.8400790691375732,0.022882730827188835,195
39,8,1,1,1,40,0.7835335731506348,0.022580692751078102,200
40,8,1,1,1,41,0.794952392578125,0.01984909493784448,205
41,8,1,1,1,42,0.8052287101745605,0.02136898162325629,210
42,8,1,1,1,43,0.8085925579071045,0.02082715889476794,215
43,8,1,1,1,44,0.8502626419067383,0.020913771699244688,220
44,8,1,1,1,45,0.7798953056335449,0.021058714636264964,225
45,8,1,1,1,46,0.772104024887085,0.020486894539918254,230
46,8,1,1,1,47,0.7340195178985596,0.01781392565927542,235
47,8,1,1,1,48,0.7913360595703125,0.015535347222623064,240
48,8,1,1,1,49,0.7874913215637207,0.017125142317703124,245
49,8,1,1,1,50,0.8100130558013916,0.017326395647200843,250
50,8,1,1,1,51,0.7804830074310303,0.017896764432688728,255
51,8,1,1,1,52,0.7730216979980469,0.017412506104928616,260
52,8,1,1,1,53,0.7598483562469482,0.014829114491907047,265
53,8,1,1,1,54,0.7698087692260742,0.013213066053126,270
54,8,1,1,1,55,0.750302791595459,0.014108465648388746,275
55,8,1,1,1,56,0.8102102279663086,0.014756434197867652,280
56,8,1,1,1,57,0.7898118495941162,0.014933418255076658,285
57,8,1,1,1,58,0.7802085876464844,0.015070570243850279,290
58,8,1,1,1,59,0.8085236549377441,0.012366443088061452,295
59,8,1,1,1,60,0.7816271781921387,0.012432161941647979,300
60,8,1,1,1,61,0.8197190761566162,0.011709460610069833,305
61,8,1,1,1,62,0.8317568302154541,0.012486970330332303,310
62,8,1,1,1,63,0.7699246406555176,0.012078191933707405,315
63,8,1,1,1,64,0.8002395629882812,0.012968159576552396,320
64,8,1,1,1,65,0.7946426868438721,0.011645274991258336,325
65,8,1,1,1,66,0.7489974498748779,0.011583085064387433,330
66,8,1,1,1,67,0.7938897609710693,0.010271071434424184,335
67,8,1,1,1,68,0.7189047336578369,0.010438772010351816,340
68,8,1,1,1,69,0.7257931232452393,0.009970941422234869,345
69,8,1,1,1,70,0.7893624305725098,0.010826175434118124,350
70,8,1,1,1,71,0.7899060249328613,0.010490478325255181,355
71,8,1,1,1,72,0.7549600601196289,0.010672344982903814,360
72,8,1,1,1,73,0.7864341735839844,0.00947915765730234,365
73,8,1,1,1,74,0.7500717639923096,0.008977789565444372,370
74,8,1,1,1,75,0.8322467803955078,0.008694905734253022,375
75,8,1,1,1,76,0.7826135158538818,0.009110275065572604,380
76,8,1,1,1,77,0.7641251087188721,0.00893433539554167,385
77,8,1,1,1,78,0.7349345684051514,0.00942153085058417,390
78,8,1,1,1,79,0.7637386322021484,0.009161341527676004,395
79,8,1,1,1,80,0.7722415924072266,0.00815755419842934,400
80,8,1,1,1,81,0.7269353866577148,0.007393746286486813,405
