,num_timesteps,num_defenders,defense_time_threshold,defender_utility,support,runtime
0,7,1,1,-0.6459642127314409,3,0.05905318260192871
1,7,1,2,-0.854907231122608,2,0.023449182510375977
2,7,2,1,-0.4750547747817346,4,3.0116636753082275
3,7,2,2,-0.8516447541286618,2,0.4203004837036133
4,7,3,1,-0.42058767594628343,10,224.7220652103424
5,7,3,2,-0.8484070828486328,2,11.527648210525513
6,8,1,1,-0.6453479343487615,3,0.15863323211669922
7,8,1,2,-0.6465816692757368,3,0.04817914962768555
8,8,2,1,-0.47415519423414276,4,7.533163070678711
9,8,2,2,-0.4759577752366162,4,2.2966504096984863
10,8,3,1,-0.4076204828761146,14,838.8796167373657
11,8,3,2,-0.4217800775524511,12,113.75468492507935
12,9,1,1,-0.6447328307588578,3,0.11060857772827148
13,9,1,2,-0.6459642127314409,3,0.09143805503845215
14,9,2,1,-0.4732590142023884,4,19.305026054382324
15,9,2,2,-0.4750547747817345,4,2.685859203338623
16,9,3,1,-0.40386751613540817,13,2856.509072780609
17,9,3,2,-0.42058767594628343,12,173.72249150276184
18,10,1,1,-0.6441188986057208,3,0.20687294006347656
19,10,1,2,-0.6453479343487615,3,0.0631570816040039
20,10,2,1,-0.4723662154413465,4,47.99747562408447
21,10,2,2,-0.47415519423414276,4,6.921196460723877
22,10,3,1,-0.39909435977365354,13,10755.648093700409
23,10,3,2,-0.40768505161034196,13,762.6999206542969
