,seed,num_timesteps,num_defenders,defense_time_threshold,defender_utility,support,runtime
0,1,8,3,1,-0.02093044761034648,2,2.130540609359741
1,2,8,3,1,-0.021067920110786377,2,2.2162487506866455
2,3,8,3,1,-0.02101380855703816,1,2.1856625080108643
3,4,8,3,1,-0.021332549435146415,3,2.403165817260742
4,5,8,3,1,-0.020913957587701093,1,1.9979615211486816
5,6,8,3,1,-0.02096186800107458,1,2.8823165893554688
6,7,8,3,1,-0.021170581710976633,1,2.6859962940216064
7,8,8,3,1,-0.02120658893885143,4,2.9305202960968018
8,9,8,3,1,-0.02096204066684426,1,2.315992832183838
9,10,8,3,1,-0.020993815384804694,2,1.8396761417388916
