,seed,num_timesteps,num_defenders,defense_time_threshold,defender_utility,support,runtime
0,1,8,3,1,-0.02868392239513295,1,1.5141823291778564
1,2,8,3,1,-0.031274914010360026,1,1.6265063285827637
2,3,8,3,1,-0.038951127462006505,1,1.4435288906097412
3,4,8,3,1,-0.021895969713243958,1,1.6307563781738281
4,5,8,3,1,-0.02530449985274039,1,1.6704590320587158
5,6,8,3,1,-0.05539887862678138,1,1.5413873195648193
6,7,8,3,1,-0.0223541463258485,1,1.6989266872406006
7,8,8,3,1,-0.030877538778733404,1,1.7766692638397217
8,9,8,3,1,-0.026281442219152507,1,1.3023738861083984
9,10,8,3,1,-0.03391870673590263,1,1.5348272323608398
