,num_timesteps,num_attackers,num_defenders,defense_time_threshold,interval_number,iteration_times,gaps,iteration_number
0,8,1,2,1,1,0.31620240211486816,0.3291100995199514,5
1,8,1,2,1,2,0.27718472480773926,0.3032754352319451,10
2,8,1,2,1,3,0.2967801094055176,0.25078459795552965,15
3,8,1,2,1,4,0.37228894233703613,0.18361216358041,20
4,8,1,2,1,5,0.30757808685302734,0.18970649948216656,25
5,8,1,2,1,6,0.2906992435455322,0.1306736299894199,30
6,8,1,2,1,7,0.2949855327606201,0.08532226692061506,35
7,8,1,2,1,8,0.2943079471588135,0.055826586591956384,40
8,8,1,2,1,9,0.29696178436279297,0.03401778527102994,45
9,8,1,2,1,10,0.3507115840911865,0.028969902257946267,50
10,8,1,2,1,11,0.3202342987060547,0.03235888746526849,55
11,8,1,2,1,12,0.29847288131713867,0.03680069664156421,60
12,8,1,2,1,13,0.29767441749572754,0.038449469657900526,65
13,8,1,2,1,14,0.30913233757019043,0.03245780624901673,70
14,8,1,2,1,15,0.30353403091430664,0.023607791341489104,75
15,8,1,2,1,16,0.3177623748779297,0.021991578589614313,80
16,8,1,2,1,17,0.3611133098602295,0.018147426103273134,85
17,8,1,2,1,18,0.30618977546691895,0.017227202534622066,90
18,8,1,2,1,19,0.2816503047943115,0.017220619081911637,95
19,8,1,2,1,20,0.3143784999847412,0.015892297353764295,100
20,8,1,2,1,21,0.2917323112487793,0.01597225141939035,105
21,8,1,2,1,22,0.3133978843688965,0.014302133846703313,110
22,8,1,2,1,23,0.3066444396972656,0.01205668708297708,115
23,8,1,2,1,24,0.32861804962158203,0.00995463720836487,120
24,8,1,2,1,25,0.3259260654449463,0.009045367551522465,125
25,8,1,2,1,26,0.29520201683044434,0.00918505436856154,130
26,8,1,2,1,27,0.31159329414367676,0.00917210180518746,135
27,8,1,2,1,28,0.30452728271484375,0.009220108828549456,140
28,8,1,2,1,29,0.32654905319213867,0.007817821824707916,145
29,8,1,2,1,30,0.2867715358734131,0.007045730053167998,150
30,8,1,2,1,31,0.28993797302246094,0.006009892236093717,155
31,8,1,2,1,32,0.3010571002960205,0.005511633670681304,160
32,8,1,2,1,33,0.2994065284729004,0.00579115035963973,165
33,8,1,2,1,34,0.2949090003967285,0.005815207918415444,170
34,8,1,2,1,35,0.29032206535339355,0.006094794970476547,175
35,8,1,2,1,36,0.3280947208404541,0.005450654857491577,180
36,8,1,2,1,37,0.32576489448547363,0.004565817981413256,185
37,8,1,2,1,38,0.3527228832244873,0.0037873962018327156,190
38,8,1,2,1,39,0.3136768341064453,0.0037710926327392813,195
39,8,1,2,1,40,0.3199961185455322,0.004091763129229431,200
40,8,1,2,1,41,0.362443208694458,0.00428223112267373,205
41,8,1,2,1,42,0.27304553985595703,0.004348401182393435,210
42,8,1,2,1,43,0.3590269088745117,0.003558424728168308,215
43,8,1,2,1,44,0.3343045711517334,0.003194373120509686,220
44,8,1,2,1,45,0.38688111305236816,0.002724507233012319,225
45,8,1,2,1,46,0.3408689498901367,0.0026255158209577134,230
46,8,1,2,1,47,0.3253767490386963,0.002978872055721893,235
47,8,1,2,1,48,0.30354738235473633,0.0031905213428092827,240
48,8,1,2,1,49,0.32610511779785156,0.003295995595778478,245
49,8,1,2,1,50,0.3034815788269043,0.0028146394146504883,250
50,8,1,2,1,51,0.3078172206878662,0.0022647783632988583,255
51,8,1,2,1,52,0.3130638599395752,0.001892318289562378,260
52,8,1,2,1,53,0.35543179512023926,0.0021516528676618907,265
53,8,1,2,1,54,0.29137444496154785,0.002391120999178542,270
54,8,1,2,1,55,0.3145570755004883,0.002546548265820403,275
55,8,1,2,1,56,0.32996106147766113,0.002551028067490413,280
56,8,1,2,1,57,0.306102991104126,0.002016683620383819,285
57,8,1,2,1,58,0.3330843448638916,0.0017742294744719223,290
58,8,1,2,1,59,0.3265390396118164,0.001489054086900754,295
59,8,1,2,1,60,0.35113954544067383,0.001575607343278218,300
